179.99.200.39 -  -  [28/Aug/2016:22:01:09 +0000] "GET http://www.teddybrinkofski.com/ip_json.php HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:04 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:07 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:08 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:08 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:08 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:09 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:09 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:09 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:09 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:09 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:09 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:10 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:10 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:10 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:10 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:10 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:11 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:11 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:11 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:11 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:11 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:12 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:12 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:30 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:30 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:30 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:31 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:31 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:31 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:31 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:31 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:32 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:32 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:32 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:32 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
130.207.226.67 -  -  [28/Aug/2016:23:50:32 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
130.207.226.67 -  -  [28/Aug/2016:23:50:41 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
130.207.226.67 -  -  [28/Aug/2016:23:50:42 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
130.207.226.67 -  -  [28/Aug/2016:23:52:25 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
130.207.226.67 -  -  [28/Aug/2016:23:52:26 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
130.207.226.67 -  -  [28/Aug/2016:23:52:26 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
130.207.226.67 -  -  [28/Aug/2016:23:52:27 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
130.207.226.67 -  -  [28/Aug/2016:23:52:27 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
130.207.226.67 -  -  [28/Aug/2016:23:52:28 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
130.207.226.67 -  -  [28/Aug/2016:23:52:28 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
130.207.226.67 -  -  [28/Aug/2016:23:52:28 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
130.207.226.67 -  -  [28/Aug/2016:23:52:28 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
130.207.226.67 -  -  [28/Aug/2016:23:52:29 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
130.207.226.67 -  -  [28/Aug/2016:23:52:29 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
130.207.226.67 -  -  [28/Aug/2016:23:57:00 +0000] "GET / HTTP/1.1" 302 0 
130.207.226.67 -  -  [28/Aug/2016:23:57:00 +0000] "GET /static/index.html HTTP/1.1" 304 0 
130.207.226.67 -  -  [28/Aug/2016:23:57:00 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
